"flight_info_id","airline","arrive_time","departure_date","departure_time","route_id"
60025,에어서울,"23:30","2024-01-09","20:50",0
60026,제주항공,"14:45","2024-01-09","11:40",0
60027,베트남항공,"13:55","2024-01-09","10:45",0
60028,아시아나항공,"21:50","2024-01-09","18:45",0
60029,대한항공,"21:45","2024-01-09","18:30",0
60030,대한항공,"14:15","2024-01-09","11:10",0
60031,베트남항공,"21:45","2024-01-09","18:30",0
60032,비엣젯항공,"10:05","2024-01-10","07:00",0
60033,비엣젯항공,"01:45","2024-01-10","22:40",0
60034,비엣젯항공,"09:20","2024-01-10","06:15",0
60035,에어서울,"23:30","2024-01-10","20:50",0
60036,티웨이항공,"22:35","2024-01-10","19:25",0
60037,티웨이항공,"23:35","2024-01-10","20:20",0
60038,티웨이항공,"10:55","2024-01-10","07:45",0
60039,진에어,"00:25","2024-01-10","21:10",0
60040,한에어,"23:35","2024-01-10","20:20",0
60041,제주항공,"00:30","2024-01-10","21:20",0
60042,이스타항공,"23:45","2024-01-10","20:55",0
60043,베트남항공,"13:55","2024-01-10","10:45",0
60044,제주항공,"13:45","2024-01-10","10:40",0
60045,대한항공,"14:15","2024-01-10","11:10",0
60046,대한항공,"21:45","2024-01-10","18:30",0
60047,아시아나항공,"21:50","2024-01-10","18:45",0
60048,비엣젯항공,"01:45","2024-01-11","22:40",0
60049,비엣젯항공,"09:20","2024-01-11","06:15",0
60050,비엣젯항공,"10:05","2024-01-11","07:00",0
60051,에어서울,"23:30","2024-01-11","20:50",0
60052,티웨이항공,"22:35","2024-01-11","19:25",0
60053,티웨이항공,"23:35","2024-01-11","20:20",0
60054,이스타항공,"23:45","2024-01-11","20:55",0
60055,한에어,"01:45","2024-01-11","22:40",0
60056,한에어,"22:35","2024-01-11","19:25",0
60057,한에어,"23:35","2024-01-11","20:20",0
60058,진에어,"00:25","2024-01-11","21:10",0
60059,제주항공,"00:30","2024-01-11","21:20",0
60060,한에어,"09:20","2024-01-11","06:15",0
60061,티웨이항공,"10:55","2024-01-11","07:45",0
60062,한에어,"00:30","2024-01-11","21:20",0
60063,베트남항공,"13:55","2024-01-11","10:45",0
60064,제주항공,"14:45","2024-01-11","11:40",0
60065,한에어,"10:05","2024-01-11","07:00",0
60066,한에어,"10:55","2024-01-11","07:45",0
60067,대한항공,"14:15","2024-01-11","11:10",0
60068,대한항공,"21:45","2024-01-11","18:30",0
60069,아시아나항공,"21:50","2024-01-11","18:45",0
60070,한에어,"14:45","2024-01-11","11:40",0
60071,비엣젯항공,"01:45","2024-01-12","22:40",0
60072,비엣젯항공,"09:20","2024-01-12","06:15",0
60073,비엣젯항공,"10:05","2024-01-12","07:00",0
60074,티웨이항공,"22:35","2024-01-12","19:25",0
60075,이스타항공,"23:45","2024-01-12","20:55",0
60076,진에어,"00:25","2024-01-12","21:10",0
60077,티웨이항공,"10:55","2024-01-12","07:45",0
60078,티웨이항공,"23:35","2024-01-12","20:20",0
60079,제주항공,"13:45","2024-01-12","10:40",0
60080,제주항공,"00:30","2024-01-12","21:20",0
60081,아시아나항공,"21:50","2024-01-12","18:45",0
60082,베트남항공,"13:55","2024-01-12","10:45",0
60083,대한항공,"14:15","2024-01-12","11:10",0
60084,대한항공,"21:45","2024-01-12","18:30",0
60085,비엣젯항공,"01:45","2024-01-13","22:40",0
60086,비엣젯항공,"09:20","2024-01-13","06:15",0
60087,비엣젯항공,"10:05","2024-01-13","07:00",0
60088,한에어,"01:45","2024-01-13","22:40",0
60089,티웨이항공,"22:35","2024-01-13","19:25",0
60090,이스타항공,"23:45","2024-01-13","20:55",0
60091,진에어,"00:25","2024-01-13","21:10",0
60092,티웨이항공,"23:35","2024-01-13","20:20",0
60093,에어서울,"23:30","2024-01-13","20:50",0
60094,티웨이항공,"10:55","2024-01-13","07:45",0
60095,제주항공,"14:45","2024-01-13","11:40",0
60096,제주항공,"00:30","2024-01-13","21:20",0
60097,대한항공,"14:15","2024-01-13","11:10",0
60098,베트남항공,"13:55","2024-01-13","10:45",0
60099,대한항공,"21:45","2024-01-13","18:30",0
60100,아시아나항공,"21:50","2024-01-13","18:45",0
60101,베트남항공,"21:45","2024-01-13","18:30",0
60102,비엣젯항공,"01:45","2024-01-14","22:40",0
60103,비엣젯항공,"10:05","2024-01-14","07:00",0
60104,비엣젯항공,"09:20","2024-01-14","06:15",0
60105,진에어,"00:25","2024-01-14","21:10",0
60106,에어서울,"23:30","2024-01-14","20:50",0
60107,이스타항공,"23:45","2024-01-14","20:55",0
60108,티웨이항공,"10:55","2024-01-14","07:45",0
